Season,Position,FirstName,LastName,Team,Opp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Yds,Receiving_TD,Misc_FumTD,Misc_2PT,Fum_Lost,Fantasy_Points
2015,QB,Cam,Newton,CAR,@JAX,3837,35,10,636,10,-,-,-,-,4,389.08
2015,QB,Tom,Brady,NE,PIT,4770,36,7,53,3,36,-,-,-,2,343.7
2015,QB,Blake,Bortles,JAX,CAR,4428,35,18,310,2,-,-,-,1,5,316.12
2015,QB,Drew,Brees,NO,@ARI,4870,32,11,14,1,-,-,-,-,2,304.2
2015,QB,Russell,Wilson,SEA,@LA,3484,31,6,484,1,-,-,-,-,2,301.76
2015,QB,Aaron,Rodgers,GB,@CHI,3821,31,8,344,1,-,-,-,4,4,301.24
2015,QB,Kirk,Cousins,WAS,MIA,4166,29,11,48,5,-,-,-,2,3,293.44
2015,QB,Eli,Manning,NYG,@DAL,4432,35,14,61,-,-,-,-,-,4,287.38
2015,QB,Ryan,Fitzpatrick,TB,CLE,3905,31,15,270,2,-,-,-,-,2,285.2
2015,QB,Philip,Rivers,LAC,DET,4792,29,13,28,-,-,-,-,2,2,284.48
2015,QB,Matthew,Stafford,DET,@LAC,4017,30,12,154,1,-6,-,-,-,2,273.48
2015,QB,Derek,Carr,OAK,CIN,3987,32,13,138,-,-,-,-,1,3,271.28
2015,QB,Alex,Smith,KC,@HOU,3486,20,7,498,2,-,-,-,2,-,271.24
2015,QB,Carson,Palmer,ARI,NO,3963,32,10,25,1,-,-,-,-,2,271.02
2015,QB,Tyrod,Taylor,BUF,IND,3035,20,6,568,4,4,-,-,1,1,270.6
2015,QB,Ryan,Tannehill,MIAIR,@WAS,4208,24,12,141,1,9,-,-,1,3,257.32
2015,QB,Jameis,Winston,TB,TEN,3679,20,14,208,6,-,-,-,1,1,255.96
2015,QB,Matt,Ryan,ATL,PHI,4591,21,16,63,-,-,-,-,1,5,233.94
2015,QB,Ben,Roethlisberger,PIT,@NE,3938,21,16,29,-,-3,-,-,8,-,228.12
2015,QB,Andy,Dalton,CIN,@OAK,3017,22,6,138,3,-,-,-,-,2,224.48
2015,QB,Marcus,Mariota,TEN,@TB,2818,19,10,252,2,41,1,-,3,6,210.02
2015,QB,Jay,Cutler,MIA,GB,3401,18,11,177,1,-,-,-,1,5,201.74
2015,QB,Teddy,Bridgewater,MIN,@SF,3231,14,9,192,3,-,-,-,1,3,200.44
2015,QB,Sam,Bradford,MIN,@ATL,3725,19,14,39,-,-,-,-,-,3,194.9
