Pos,Num,Player Name,Status,TCKL,SCK,FF,INT,Team
DB,38,"Abad, Manny",ACT,--,--,--,--,TEN
SS,24,"Abdul-Quddus, Isa",UFA,78,1,0,2,MIA
CB,27,"Acker, Kenneth",ACT,17,0,0,--,KC
FS,33,"Adams, Andrew",ACT,46,0,0,1,NYG
SAF,,"Adams, Jamal",ACT,--,--,--,--,NYJ
SS,27,"Adams, Mike",ACT,79,0,2,2,CAR
SS,37,"Addae, Jahleel",ACT,50,0,0,1,LAC
CB,38,"Adjei-Barimah, Jude",ACT,22,2,1,--,TB
CB,39,"Agnew, Jamal",ACT,--,--,--,--,DET
FS,35,"Aikens, Walt",ACT,7,0,0,--,MIA
CB,20,"Alexander, Mackensie",ACT,5,0,0,--,MIN
FS,31,"Alexander, Maurice",ACT,50,1,0,2,LA
CB,23,"Alford, Robert",ACT,61,0,0,2,ATL
DB,39,"Allen, Antonio",UFA,5,0,0,--,NYJ
DB,29,"Allen, Brian",ACT,--,--,--,--,PIT
DB,29,"Allen, Nate",ACT,33,0,0,2,MIA
FS,37,"Allen, Ricardo",ACT,90,0,0,2,ATL
CB,29,"Amerson, David",ACT,64,0,0,2,OAK
FS,38,"Amos, Adrian",ACT,65,0,1,--,CHI
DB,43,"Amos, DaShaun",ACT,--,--,--,--,NYG
DB,20,"Amukamara, Prince",ACT,49,0,0,--,CHI
DB,33,"Anderson, Colt",ACT,2,0,0,--,BUF
CB,24,"Apple, Eli",ACT,51,0,1,1,NYG
CB,24,"Arrington, Kyle",UFA,--,--,--,--,BAL
CB,33,"Awuzie, Chidobe",ACT,--,--,--,--,DAL
CB,29,"Bademosi, Johnson",ACT,22,0,0,1,DET
SAF,36,"Baker, Budda",ACT,--,--,--,--,ARI
SAF,39,"Ballentine, Lonnie",ACT,0,--,--,--,HOU
CB,37,"Banjo, Chris",ACT,7,0,0,0,NO
CB,35,"Banks, Johnthan",ACT,6,0,0,0,CHI
CB,38,"Barnes, Adairius",ACT,7,0,0,--,DET
DB,2,"Barnett, Dante",ACT,--,--,--,--,DEN
CB,31,"Bausby, DeVante",ACT,12,0,0,--,KC
DB,46,"Baxter, Keith",ACT,--,--,--,--,KC
SS,48,"Bell, Vonn",ACT,87,1,2,--,NO
CB,23,"Benwikere, Bene'",ACT,10,0,0,1,CIN
FS,29,"Berhe, Nat",ACT,21,0,1,--,NYG
SS,29,"Berry, Eric",ACT,77,0,1,4,KC
SS,41,"Bethea, Antoine",ACT,110,0,1,1,ARI
CB,28,"Bethel, Justin",ACT,39,0,1,1,ARI
DB,37,"Blackmon, Dante",ACT,--,--,--,--,IND
FS,41,"Blackmon, Will",ACT,41,0.5,1,1,WAS
DB,47,"Blake, Valentino",ACT,42,0,0,--,NYG
DB,36,"Blanton, Robert",ACT,35,0,0,--,DAL
SS,20,"Boddy-Calhoun, Briean",ACT,43,1,0,3,CLE
DB,31,"Borders, Breon",ACT,--,--,--,--,OAK
DB,33,"Boston, Tre",ACT,53,2,0,2,LAC
DB,39,"Bouka, Elie",ACT,--,--,--,--,ARI
CB,21,"Bouye, A.J.",ACT,63,1,0,1,JAX
DB,35,"Boykin, Brandon",ACT,--,--,--,--,BAL
DB,39,"Boykins, Jeremy",ACT,--,--,--,--,TEN
