Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
DE,92,"Abdesmad, Mehdi",ACT,TCKL,1,0,0,--,TEN
DT,90,"Adams, Montravius",ACT,TCKL,--,--,--,--,GB
DT,61,"Adams, Nelson",ACT,TCKL,--,--,--,--,PIT
DE,97,"Addison, Mario",ACT,TCKL,27,9.5,2,--,CAR
DE,90,"Ali'ifua, Ricky",ACT,TCKL,--,--,--,--,KC
DT,94,"Allen, Beau",ACT,TCKL,29,0.5,0,--,PHI
DE,95,"Allen, Jonathan",ACT,TCKL,--,--,--,--,WAS
DE,94,"Alualu, Tyson",ACT,TCKL,37,2.5,1,--,PIT
DE,96,"Anderson, Henry",ACT,TCKL,12,0,0,--,IND
DT,96,"Ankou, Eli",ACT,TCKL,--,--,--,--,HOU
DE,94,"Ansah, Ezekiel",ACT,TCKL,35,2,0,--,DET
DE,91,"Armstead, Arik",ACT,TCKL,15,2.5,1,--,SF
NT,76,"Ash, Richard",ACT,TCKL,6,0,0,0,DAL
DT,97,"Atkins, Geno",ACT,TCKL,32,9,0,--,CIN
DE,97,"Attaochu, Jeremiah",ACT,TCKL,11,2,0,--,LAC
DT,72,"Augusta, Josh",ACT,TCKL,--,--,--,--,NE
DE,96,"Autry, Denico",ACT,TCKL,29,2.5,0,--,OAK
DE,56,"Avril, Cliff",ACT,TCKL,39,11.5,5,--,SEA
DE,91,"Ayers, Robert",ACT,TCKL,29,6.5,1,--,TB
DT,95,"Babineaux, Jonathan",UFA,TCKL,22,0,0,--,ATL
DE,97,"Bailey, Allen",ACT,TCKL,7,0,0,--,KC
DE,70,"Bailey, Sterling",ACT,TCKL,--,--,--,--,TB
DE,90,"Baker, Chris",ACT,TCKL,47,3.5,2,--,TB
DE,63,"Banks, Brandon",ACT,TCKL,--,--,--,--,WAS
DT,64,"Banks, Josh",ACT,TCKL,--,--,--,--,NYG
DT,77,"Barnes, T.J.",UFA,TCKL,1,0,0,--,KC
DE,79,"Barnes, Tavaris",ACT,TCKL,--,--,--,--,TB
DE,96,"Barnett, Derek",ACT,TCKL,--,--,--,--,PHI
DT,68,"Baron, Woody",ACT,TCKL,--,--,--,--,DAL
DE,79,"Barrett, Alex",ACT,TCKL,--,--,--,--,DET
DE,58,"Basham, Tarell",ACT,TCKL,--,--,--,--,IND
DE,47,"Bass, David",ACT,TCKL,16,0,0,--,SEA
DE,93,"Bean, Jimmy",ACT,TCKL,--,--,--,--,OAK
DT,96,"Bennett, Michael",ACT,TCKL,--,--,--,--,JAX
DE,72,"Bennett, Michael",ACT,TCKL,34,5,0,--,SEA
NT,75,"Billings, Andrew",ACT,TCKL,--,--,--,--,CIN
DE,95,"Blackson, Angelo",ACT,TCKL,9,0,0,--,TEN
DE,98,"Blair, Ronald",ACT,TCKL,16,3,0,--,SF
DE,99,"Bosa, Joey",ACT,TCKL,41,10.5,1,--,LAC
DE,64,"Bower, Tashawn",ACT,TCKL,--,--,--,--,MIN
DT,60,"Boyd, Josh",ACT,TCKL,--,--,--,--,IND
DT,92,"Boyette, Paul",ACT,TCKL,--,--,--,--,OAK
DT,63,"Bradley, Dylan",ACT,TCKL,--,--,--,--,MIN
DE,56,"Braman, Bryan",UFA,TCKL,5,0,0,--,PHI
DE,97,"Branch, Alan",ACT,TCKL,49,1.5,1,--,NE
DE,50,"Branch, Andre",ACT,TCKL,49,5.5,2,--,MIA
DT,99,"Brantley, Caleb",ACT,TCKL,--,--,--,--,CLE
DT,90,"Brockers, Michael",ACT,TCKL,19,0,0,--,LA
DT,96,"Bromley, Jay",ACT,TCKL,14,1,0,--,NYG
DT,64,"Brown, Christian",ACT,TCKL,--,--,--,--,PIT
DT,70,"Brown, DeAngelo",ACT,TCKL,--,--,--,--,TEN
DE,99,"Brown, Fadol",ACT,TCKL,--,--,--,--,OAK
DT,90,"Brown, Malcom",ACT,TCKL,50,3,1,--,NE
DE,76,"Brown, Ryan",ACT,TCKL,--,--,--,--,CIN
DE,95,"Bryant, Armonty",ACT,TCKL,5,3,1,--,DET
DT,94,"Bryant, Brandin",ACT,TCKL,0,--,--,--,NYJ
DT,97,"Bryant, Corbin",ACT,TCKL,11,0,0,--,NYG
DE,92,"Bryant, Desmond",ACT,TCKL,--,--,--,--,CLE
DT,67,"Bryant, Omarius",ACT,TCKL,--,--,--,--,LA
DE,99,"Buckner, DeForest",ACT,TCKL,73,6,0,--,SF
DE,90,"Bullard, Jonathan",ACT,TCKL,18,1,0,--,CHI
DT,70,"Butler, Adam",ACT,TCKL,--,--,--,--,NE
DT,92,"Butler, Vernon",ACT,TCKL,13,1.5,0,--,CAR
DT,93,"Campbell, Calais",ACT,TCKL,53,8,2,1,JAX
DE,95,"Carradine, Tank",ACT,TCKL,18,0,0,--,SF
DT,69,"Carrell, Jordan",ACT,TCKL,--,--,--,--,DAL
NT,90,"Carrethers, Ryan",ACT,TCKL,5,0,0,--,LAC
DE,99,"Casey, Jurrell",ACT,TCKL,44,5,0,--,TEN
DE,62,"Casher, Chris",ACT,TCKL,--,--,--,--,OAK
DT,90,"Charles, Stefan",ACT,TCKL,12,0,0,--,JAX
DE,97,"Charlton, Taco",ACT,TCKL,--,--,--,--,DAL
DE,55,"Clark, Frank",ACT,TCKL,47,10,2,--,SEA
NT,97,"Clark, Kenny",ACT,TCKL,21,0,0,--,GB
DE,93,"Clarke, Will",ACT,TCKL,15,4,0,--,CIN
DE,99,"Clayborn, Adrian",ACT,TCKL,22,4.5,0,--,ATL
DE,90,"Clowney, Jadeveon",ACT,TCKL,52,6,1,--,HOU
DT,98,"Coleman, Deandre",ACT,TCKL,3,0,0,--,BUF
DT,93,"Coley, Trevon",ACT,TCKL,--,--,--,--,CLE
DT,96,"Collins, Maliek",ACT,TCKL,23,5,1,--,DAL
DE,96,"Cooper, Xavier",ACT,TCKL,20,0,0,--,CLE
DE,51,"Copeland, Brandon",ACT,TCKL,16,0,1,--,DET
DE,95,"Covington, Christian",ACT,TCKL,26,1,0,--,HOU
DT,68,"Coward, Rashaad",ACT,TCKL,--,--,--,--,CHI
DE,47,"Cowser, James",ACT,TCKL,9,1,0,--,OAK
DE,64,"Cox, Bryan",ACT,TCKL,--,--,--,--,CAR
DT,91,"Cox, Fletcher",ACT,TCKL,43,6.5,1,--,PHI
DT,74,"Craig, Winston",ACT,TCKL,--,--,--,--,PHI
DE,95,"Crawford, Jack",ACT,TCKL,25,3.5,0,--,ATL
DE,98,"Crawford, Tyrone",ACT,TCKL,28,4.5,0,--,DAL
DE,,"Crichton, Scott",UFA,TCKL,--,--,--,--,BUF
DE,93,"Crick, Jared",ACT,TCKL,53,3,2,--,DEN
DT,72,"Crume, Eric",ACT,TCKL,--,--,--,--,CAR
DE,75,"Curry, Vinny",ACT,TCKL,26,2.5,0,--,PHI
DE,60,"Daniel, T.J.",ACT,TCKL,--,--,--,--,HOU
DE,76,"Daniels, Mike",ACT,TCKL,33,4,0,--,GB
NT,99,"Dareus, Marcell",ACT,TCKL,39,3.5,0,--,BUF
DE,94,"Davis, Carl",ACT,TCKL,--,--,--,--,BAL
DE,56,"Davis, Ryan",ACT,TCKL,4,0,0,--,BUF
DT,95,"Davison, Tyeler",ACT,TCKL,23,0,0,--,NO
DT,92,"Day, Sheldon",ACT,TCKL,8,1,0,--,JAX
DT,79,"Dean, David",ACT,TCKL,--,--,--,--,CIN
DE,91,"Delaire, Ryan",ACT,TCKL,6,1,0,--,CAR
DE,92,"Dial, Quinton",ACT,TCKL,36,0,0,--,SF
DE,79,"Dimick, Hunter",ACT,TCKL,--,--,--,--,JAX
DT,99,"Donald, Aaron",ACT,TCKL,47,8,2,--,LA
NT,90,"Dorsey, Glenn",UFA,TCKL,24,1,0,--,SF
DE,91,"Douzable, Leger",UFA,TCKL,43,1.5,0,--,BUF
DE,58,"Dumervil, Elvis",ACT,TCKL,11,3,2,--,SF
DE,96,"Dunlap, Carlos",ACT,TCKL,49,8,3,--,CIN
DT,92,"Dunn, Brandon",ACT,TCKL,3,0,0,--,HOU
DE,94,"Ealy, Kony",ACT,TCKL,32,5,2,1,NE
DT,91,"Easley, Dominique",ACT,TCKL,35,3.5,2,--,LA
DE,97,"Edwards, Mario",ACT,TCKL,2,0,0,--,OAK
DT,78,"Ellis, Justin",ACT,TCKL,21,0,0,--,OAK
DT,96,"Eulls, Kaleb",ACT,TCKL,0,--,--,--,LAC
DT,90,"Fairley, Nick",RSN,TCKL,43,6.5,0,--,NO
DE,78,"Fede, Terrence",ACT,TCKL,14,0,0,--,MIA
DT,67,"Ferguson, Ego",ACT,TCKL,--,--,--,--,DET
DE,98,"Flowers, Trey",ACT,TCKL,45,7,0,--,NE
DT,73,"Floyd, Sharrif",ACT,TCKL,0,--,--,--,MIN
DE,56,"Fowler, Dante",ACT,TCKL,32,4,0,--,JAX
DE,97,"Fox, Morgan",ACT,TCKL,5,0,1,--,LA
DT,69,"Francis, A.J.",ACT,TCKL,0,--,--,--,WAS
DE,93,"Freeney, Dwight",UFA,TCKL,10,3,0,--,ATL
