Season,Position,FirstName,LastName,Team,Opp,PAT_Made,FG_Made_0to19,FG_Made_20to29,FG_Made_30to39,FG_Made_40to49,FG_Made_50plus,Fantasy_Points
2015,K,Stephen,Gostkowski,NE,PIT,52,0,6,11,12,4,159
2015,K,Graham,Gano,CAR,@JAX,56,1,10,4,13,2,150
2015,K,Blair,Walsh,SEA,@SF,33,0,9,13,6,6,147
2015,K,Cairo,Santos,KC,@HOU,39,0,7,10,9,4,137.12
2015,K,Justin,Tucker,BAL,@DEN,29,0,10,9,10,4,136
2015,K,Brandon,McManus,DEN,BAL,35,0,12,8,5,5,135
2015,K,Robbie,Gould,SF,GB,24,1,8,7,7,7,128
2015,K,Dan,Bailey,DAL,NYG,25,0,9,10,6,5,125
2015,K,Stephen,Hauschka,BUF,@LA,36,0,6,6,7,6,123
2015,K,Dustin,Hopkins,WAS,MIA,39,0,7,9,7,2,118
2015,K,Chris,Boswell,PIT,@NE,26,1,9,8,9,2,117
2015,K,Mason,Crosby,GB,@CHI,36,1,7,4,8,4,116
2015,K,Jason,Myers,JAX,CAR,32,0,9,8,6,3,116
2015,K,Adam,Vinatieri,IND,@BUF,32,0,7,6,8,4,115
2015,K,Josh,Lambo,LAC,DET,28,0,4,7,11,4,114
2015,K,Chandler,Catanzaro,NYJ,NO,49,1,8,7,5,0,112
2015,K,Matt,Prater,DET,@LAC,34,0,3,8,6,5,110
2015,K,Dan,Carpenter,Free,IND,34,0,5,8,7,3,109
2015,K,Sebastian,Janikowski,OAK,CIN,38,0,7,5,5,4,109
2015,K,Caleb,Sturgis,PHI,@ATL,35,0,4,8,4,2,93
2015,K,Phil,Dawson,ARI,MIN,20,0,8,6,6,2,90
2015,K,Connor,Barth,CHI,TEN,23,0,8,7,3,2,87
2015,K,Nick,Novak,HOU,KC,29,0,6,6,4,2,87
2015,K,Randy,Bullock,CIN,CLE,22,1,4,6,8,0,79
2015,K,Andrew,Franks,MIA,@WAS,33,1,3,4,4,1,74
2016,K,Matt,Bryant,ATL,Bye,56,0,12,7,9,6,170
2016,K,Justin,Tucker,BAL,Bye,27,0,4,10,14,10,161
2016,K,Dustin,Hopkins,WAS,Bye,36,0,12,12,7,3,144
2016,K,Caleb,Sturgis,PHI,Bye,30,0,12,12,7,4,143
2016,K,Wil,Lutz,NO,Bye,49,1,7,9,8,3,139
2016,K,Adam,Vinatieri,IND,Bye,44,0,3,7,10,7,139
2016,K,Matt,Prater,DET,Bye,31,0,10,4,10,7,138
2016,K,Dan,Bailey,DAL,Bye,46,0,9,8,7,3,133
2016,K,Nick,Novak,HOU,Bye,22,1,12,11,8,3,133
2016,K,Cairo,Santos,KC,Bye,36,0,8,15,6,2,133
2016,K,Stephen,Gostkowski,NE,Bye,46,0,9,7,9,2,131
2016,K,Steven,Hauschka,BUF,Bye,29,0,11,13,8,1,130
2016,K,Sebastian,Janikowski,OAK,Bye,37,1,9,6,10,3,130
2016,K,Graham,Gano,CAR,Bye,31,0,4,9,14,3,127
2016,K,Brandon,McManus,DEN,Bye,32,0,9,10,7,3,125.6
2016,K,Mason,Crosby,GBV,Bye,44,1,6,13,5,1,124
2016,K,Jason,Myers,JAX,Bye,29,0,7,3,10,7,124
2016,K,Josh,Lambo,LAC,Bye,42,0,7,13,6,0,120
2016,K,Chandler,Catanzaro,NYJ,Bye,43,1,5,6,6,3,112
2016,K,Ryan,Succop,TEN,Bye,39,1,4,6,8,3,111
2016,K,Nick,Folk,TBV,Bye,24,0,12,10,3,2,109
2016,K,Chris,Boswell,PIT,Bye,36,0,2,8,11,0,99
2016,K,Dan,Carpenter,,Bye,40,1,8,5,4,1,99
2016,K,Roberto,Aguayo,CHI,Bye,32,0,5,13,4,0,98
2016,K,Andrew,Franks,MIA,Bye,41,0,8,6,1,1,91
2016,K,Phil,Dawson,ARI,Bye,33,0,4,6,7,1,89
2016,K,Connor,Barth,CHI,Bye,31,0,7,7,3,1,87
2016,K,Greg,Zuerlein,LA,Bye,23,0,5,9,3,2,84
2016,K,Cody,Parkey,CLE,Bye,20,0,6,6,7,1,82
2016,K,Kai,Forbath,MIN,Bye,11,0,5,5,4,1,58
2016,K,Robbie,Gould,SF,Bye,20,0,3,3,4,0,50
2016,K,Randy,Bullock,CIN,Bye,9,0,4,2,2,0,33
2016,K,Ka'imi,Fairbairn,HOU,Bye,0,0,0,0,0,0,0
2016,K,Harrison,Butker,CAR,Bye,0,0,0,0,0,0,0
2016,K,Jake,Elliott,CIN,Bye,0,0,0,0,0,0,0
2016,K,Zane,Gonzalez,CLE,Bye,0,0,0,0,0,0,0
2016,K,Aldrick,Rosas,NYG,Bye,0,0,0,0,0,0,0
2016,K,Blair,Walsh,SEA,Bye,0,0,0,0,0,0,0
