Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
OLB,93,"Acho, Sam",ACT,TCKL,27,1,1,--,CHI
LB,99,"Adams, Keion",ACT,TCKL,--,--,--,--,PIT
LB,58,"Adams, Tyrell",ACT,TCKL,0,--,--,--,OAK
LB,49,"Albright, Bryson",ACT,TCKL,0,--,--,--,CIN
ILB,54,"Alexander, Dominique",ACT,TCKL,7,0,0,--,CLE
ILB,57,"Alexander, D.J.",ACT,TCKL,16,0,1,--,KC
OLB,57,"Alexander, Lorenzo",ACT,TCKL,76,12.5,3,1,BUF
MLB,58,"Alexander, Kwon",ACT,TCKL,145,3,1,1,TB
LB,59,"Allen, Chase",ACT,TCKL,--,--,--,--,MIA
LB,95,"Allen, Randy",ACT,TCKL,--,--,--,--,BAL
MLB,47,"Alonso, Kiko",ACT,TCKL,115,0,1,2,MIA
OLB,58,"Anderson, Jonathan",ACT,TCKL,7,0,0,--,CHI
OLB,52,"Anderson, Ryan",ACT,TCKL,--,--,--,--,WAS
ILB,50,"Anderson, Zaire",ACT,TCKL,14,0,1,--,DEN
OLB,50,"Anthony, Stephone",ACT,TCKL,16,0,0,--,NO
LB,47,"Anzalone, Alex",ACT,TCKL,--,--,--,--,NO
OLB,50,"Armbrister, Thurston",ACT,TCKL,15,0,0,--,DET
OLB,54,"Armstrong, Ray-Ray",ACT,TCKL,8,0,0,1,SF
LB,56,"Ayers, Akeem",ACT,TCKL,21,2,0,1,IND
LB,47,"Banderas, Josh",ACT,TCKL,--,--,--,--,DEN
OLB,55,"Barr, Anthony",ACT,TCKL,70,2,1,--,MIN
OLB,48,"Barrett, Shaquil",ACT,TCKL,36,1.5,1,--,DEN
LB,97,"Barrington, Sam",UFA,TCKL,2,0,0,0,NO
OLB,26,"Barron, Mark",ACT,TCKL,118,1,0,2,LA
LB,49,"Barrow, Lamin",ACT,TCKL,--,--,--,--,MIA
LB,98,"Barwin, Connor",ACT,TCKL,34,5,1,--,LA
LB,53,"Bates, Daren",ACT,TCKL,12,0,0,--,TEN
LB,44,"Bates, Trevor",ACT,TCKL,0,--,--,--,NE
LB,96,"Bates, Houston",ACT,TCKL,7,0,0,--,WAS
LB,54,"Bazzie, Alex",ACT,TCKL,--,--,--,--,ARI
OLB,44,"Beasley, Vic",ACT,TCKL,39,15.5,6,--,ATL
ILB,51,"Beckwith, Kendell",ACT,TCKL,--,--,--,--,TB
LB,52,"Bell, Brandon",ACT,TCKL,--,--,--,--,CIN
LB,50,"Bello, B.J.",ACT,TCKL,--,--,--,--,CLE
LB,43,"Bellore, Nick",ACT,TCKL,83,1,1,1,DET
LB,57,"Beltre, Frank",ACT,TCKL,--,--,--,--,NYJ
LB,45,"Beyer, Brennen",ACT,TCKL,3,0,0,--,BAL
OLB,45,"Biegel, Vince",ACT,TCKL,--,--,--,--,GB
LB,56,"Bigger, Zeek",ACT,TCKL,--,--,--,--,CAR
LB,99,"Bighill, Adam",ACT,TCKL,--,--,--,--,NO
OLB,47,"Bishop, Freddie",ACT,TCKL,9,0,0,--,NYJ
OLB,59,"Bond, Devante",ACT,TCKL,0,--,--,--,TB
LB,57,"Bostic, Jon",ACT,TCKL,--,--,--,--,IND
ILB,50,"Boulware, Ben",ACT,TCKL,--,--,--,--,CAR
ILB,53,"Bowman, NaVorro",ACT,TCKL,35,1,1,1,SF
LB,54,"Bowser, Tyus",ACT,TCKL,--,--,--,--,BAL
LB,53,"Bradford, Carl",ACT,TCKL,5,0,0,0,BUF
OLB,53,"Bradham, Nigel",ACT,TCKL,102,2,2,1,PHI
LB,53,"Bradley, Bam",ACT,TCKL,--,--,--,--,BAL
OLB,55,"Brooks, Ahmad",ACT,TCKL,53,6,1,--,SF
OLB,40,"Brothers, Kentrell",ACT,TCKL,9,0,0,--,MIN
LB,42,"Brown, Arthur",ACT,TCKL,3,0,0,0,SEA
LB,53,"Brown, Blair",ACT,TCKL,--,--,--,--,JAX
ILB,57,"Brown, Jatavis",ACT,TCKL,79,3.5,2,--,LAC
LB,55,"Brown, Jayon",ACT,TCKL,--,--,--,--,TEN
LB,56,"Brown, Kourtnei",ACT,TCKL,--,--,--,--,TEN
ILB,52,"Brown, Preston",ACT,TCKL,139,1,1,--,BUF
LB,44,"Brown, Richie",ACT,TCKL,--,--,--,--,TB
LB,53,"Brown, Zach",ACT,TCKL,149,4,2,1,WAS
OLB,20,"Bucannon, Deone",ACT,TCKL,91,0,0,--,ARI
LB,49,"Bullough, Riley",ACT,TCKL,--,--,--,--,TB
OLB,55,"Burfict, Vontaze",ACT,TCKL,101,2,1,2,CIN
ILB,52,"Burgess, James",ACT,TCKL,--,--,--,--,CLE
OLB,56,"Butler, Donald",UFA,TCKL,28,0,0,--,MIA
OLB,57,"Bynes, Josh",UFA,TCKL,38,0,0,--,DET
LB,91,"Calhoun, Shilique",ACT,TCKL,9,0.5,0,--,OAK
LB,56,"Calvin, Johnathan",ACT,TCKL,--,--,--,--,GB
OLB,59,"Campbell, De'Vondre",ACT,TCKL,48,0,1,1,ATL
LB,42,"Capi, Cap",ACT,TCKL,--,--,--,--,ARI
ILB,59,"Carder, Tank",ACT,TCKL,5,0,0,--,CLE
OLB,44,"Carraway, Josh",ACT,TCKL,--,--,--,--,TEN
OLB,54,"Carter, Bruce",ACT,TCKL,16,0,0,--,NYJ
LB,55,"Carter, Chris",ACT,TCKL,8,0,0,0,WAS
LB,57,"Cash, Jeremy",ACT,TCKL,6,0,0,--,CAR
OLB,52,"Casillas, Jonathan",ACT,TCKL,96,1.5,1,--,NYG
OLB,53,"Catapano, Mike",UFA,TCKL,4,0,0,--,NYJ
LB,48,"Cherry, Don",ACT,TCKL,--,--,--,--,PHI
OLB,56,"Chickillo, Anthony",ACT,TCKL,29,2.5,2,--,PIT
LB,53,"Chubb, Brandon",RES,TCKL,--,--,--,--,DET
OLB,43,"Cliett, Reshard",ACT,TCKL,--,--,--,--,KC
LB,57,"Cole, Audie",ACT,TCKL,12,0,0,--,JAX
LB,51,"Cole, Dylan",ACT,TCKL,--,--,--,--,HOU
OLB,58,"Cole, Trent",UFA,TCKL,16,2,0,--,IND
OLB,51,"Collins, Jamie",ACT,TCKL,112,3,2,2,CLE
ILB,51,"Compton, Will",ACT,TCKL,106,0,1,1,WAS
ILB,51,"Correa, Kamalei",ACT,TCKL,4,0,1,--,BAL
LB,50,"Coyle, Brock",ACT,TCKL,16,1,0,--,SF
ILB,30,"Cravens, Su'a",ACT,TCKL,34,1,0,1,WAS
LB,41,"Cunningham, Zach",ACT,TCKL,--,--,--,--,HOU
ILB,56,"Cushing, Brian",ACT,TCKL,65,0,0,--,HOU
LB,56,"Dansby, Karlos",ACT,TCKL,114,1,0,--,ARI
OLB,54,"David, Lavonte",ACT,TCKL,87,5,4,1,TB
LB,56,"Davis, Demario",ACT,TCKL,99,2,1,--,NYJ
LB,40,"Davis, Jarrad",ACT,TCKL,--,--,--,--,DET
LB,60,"Davis, Kevin",ACT,TCKL,--,--,--,--,LA
LB,58,"Davis, P.J.",ACT,TCKL,--,--,--,--,JAX
OLB,58,"Davis, Thomas",ACT,TCKL,106,2.5,1,3,CAR
ILB,51,"Davis, Todd",ACT,TCKL,97,0.5,1,--,DEN
LB,47,"Dawson, P.J.",ACT,TCKL,1,0,0,--,CIN
OLB,50,"Dent, Akeem",UFA,TCKL,11,0,0,--,HOU
OLB,93,"Dodd, Kevin",ACT,TCKL,5,1,0,--,TEN
LB,53,"Donahue, Dylan",ACT,TCKL,--,--,--,--,NYJ
LB,59,"Dora, Vontarrius",ACT,TCKL,0,--,--,--,DEN
OLB,48,"Dupree, Bud",ACT,TCKL,24,4.5,1,--,PIT
LB,56,"Durant, Justin",UFA,TCKL,37,1,0,--,DAL
LB,48,"Dzubnar, Nick",ACT,TCKL,6,0,0,--,LAC
LB,50,"Ebukam, Samson",ACT,TCKL,--,--,--,--,LA
LB,91,"Edebali, Kasim",ACT,TCKL,11,1,0,--,DEN
LB,92,"Edwards, Lavar",ACT,TCKL,11,2,0,0,IND
LB,66,"Ekanem, Ken",ACT,TCKL,--,--,--,--,DEN
LB,49,"Ekpe, Hendrick",ACT,TCKL,--,--,--,--,CHI
LB,45,"Eligwe, Ukeme",ACT,TCKL,--,--,--,--,KC
OLB,59,"Ellerbe, Dannell",ACT,TCKL,44,4,0,--,NO
LB,91,"Elliott, Jay",ACT,TCKL,19,1,0,--,GB
ILB,47,"Ellis, Brooks",ACT,TCKL,--,--,--,--,NE
OLB,51,"Emanuel, Kyle",ACT,TCKL,58,0.5,1,--,LAC
LB,50,"Evans, Jordan",ACT,TCKL,--,--,--,--,CIN
OLB,51,"Fackrell, Kyler",ACT,TCKL,18,2,1,--,GB
LB,48,"Fleming, Ladell",ACT,TCKL,--,--,--,--,CLE
OLB,53,"Flowers, Marquis",ACT,TCKL,7,0,0,--,CIN
OLB,94,"Floyd, Leonard",ACT,TCKL,33,7,1,--,CHI
OLB,55,"Ford, Dee",ACT,TCKL,38,10,1,--,KC
OLB,59,"Forrest, Josh",ACT,TCKL,9,0,0,--,LA
LB,54,"Fort, L.J.",ACT,TCKL,4,0,0,--,PIT
ILB,54,"Foster, Mason",ACT,TCKL,124,1,1,--,WAS
LB,56,"Foster, Reuben",ACT,TCKL,--,--,--,--,SF
ILB,50,"Freeman, Jerrell",ACT,TCKL,110,0,0,--,CHI
OLB,55,"Freeny, Jonathan",ACT,TCKL,10,0,1,--,NE
OLB,59,"Fua, Alani",ACT,TCKL,1,0,0,--,ARI
OLB,52,"Gachkar, Andrew",UFA,TCKL,10,0,0,--,DAL
LB,46,"Galambos, Matt",ACT,TCKL,--,--,--,--,PIT
LB,58,"Galette, Junior",ACT,TCKL,--,--,--,--,WAS
LB,41,"Garcia-Williams, Jerrol",ACT,TCKL,--,--,--,--,DEN
LB,51,"Garvin, Terence",ACT,TCKL,16,0.5,0,--,SEA
LB,49,"Gause, Quentin",ACT,TCKL,2,0,0,--,DEN
ILB,42,"Gedeon, Ben",ACT,TCKL,--,--,--,--,MIN
LB,59,"George, Jeremiah",ACT,TCKL,--,--,--,--,IND
LB,47,"Gerry, Nate",ACT,TCKL,--,--,--,--,PHI
