Pos,Num,Player Name,Status,PUNTS,AVG,LNG,IN 20,Team
P,3,"Allen, Kenny",ACT,--,--,--,--,BAL
P,6,"Allen, Ryan",ACT,72,44.7,57,23,NE
P,9,"Anger, Bryan",ACT,70,45.9,59,37,TB
P,4,"Baker, Toby",ACT,--,--,--,--,LAC
P,4,"Berry, Jordan",ACT,68,45.6,64,25,PIT
P,5,"Bosher, Matt",ACT,44,46.8,68,21,ATL
P,2,"Carter, Cory",ACT,--,--,--,--,HOU
P,4,"Colquitt, Britton",ACT,83,45.3,65,22,CLE
P,2,"Colquitt, Dustin",ACT,76,45.1,64,38,KC
P,4,"Darr, Matt",ACT,90,44.3,66,32,MIA
P,9,"Dixon, Riley",ACT,89,45.7,68,28,DEN
P,4,"Edwards, Lac",ACT,75,43.1,59,24,NYJ
P,16,"Haack, Matt",ACT,--,--,--,--,MIA
P,6,"Hekker, Johnny",ACT,98,47.8,78,51,LA
P,10,"Huber, Kevin",ACT,78,46.3,72,23,CIN
P,2,"Irwin-Hill, Sam",ACT,--,--,--,--,DAL
P,1,"Johnston, Cameron",ACT,--,--,--,--,PHI
P,6,"Jones, Chris",ACT,58,45.9,66,25,DAL
P,8,"Jones, Donnie",ACT,63,45.8,72,21,PHI
P,8,"Kaser, Drew",ACT,59,46.3,69,18,LAC
P,6,"Kern, Brett",ACT,77,44.2,71,32,TEN
P,7,"King, Marquette",ACT,81,48.6,72,34,OAK
P,4,"Koch, Sam",ACT,80,45.8,68,37,BAL
P,9,"Lechler, Shane",ACT,72,47.5,62,30,HOU
P,8,"Lee, Andy",ACT,36,49.1,76,18,CAR
P,9,"Leone, Richie",ACT,--,--,--,--,ARI
P,9,"Locke, Jeff",ACT,74,42.6,72,34,IND
P,6,"Martin, Sam",ACT,62,48.5,63,23,DET
P,6,"Morstead, Thomas",ACT,57,48.3,66,22,NO
P,3,"Nortman, Brad",ACT,77,46.6,78,27,JAX
P,16,"O'Donnell, Pat",ACT,68,44,67,24,CHI
P,5,"Palardy, Michael",ACT,36,42.5,56,13,CAR
P,5,"Pinion, Bradley",ACT,100,44,65,28,SF
P,4,"Quigley, Ryan",ACT,34,41.6,55,13,MIN
P,2,"Redfern, Kasey",ACT,--,--,--,--,DET
P,3,"Rehkow, Austin",ACT,--,--,--,--,BUF
P,9,"Ryan, Jon",ACT,71,44,64,26,SEA
P,2,"Sanchez, Rigoberto",ACT,--,--,--,--,IND
P,6,"Schmidt, Colton",ACT,75,42.4,58,20,BUF
P,10,"Schum, Jacob",RES,56,43.2,65,19,GB
P,9,"Symmank, Taylor",ACT,--,--,--,--,MIN
P,5,"Vogel, Justin",ACT,--,--,--,--,GB
P,5,"Way, Tress",ACT,49,45.1,61,15,WAS
P,6,"Wile, Matt",ACT,12,46.1,59,2,ARI
P,9,"Wing, Brad",ACT,93,46.2,63,28,NYG
