Pos,Num,Player Name,Status,TDS,INT,YDS,RTG,Team
QB,10,"Allen, Brandon",ACT,--,--,--,0,JAX
QB,3,"Anderson, Derek",ACT,2,5,453,67.6,CAR
QB,7,"Barkley, Matt",ACT,8,14,"1,611",68.3,SF
QB,3,"Beathard, C.J.",ACT,--,--,--,--,SF
QB,6,"Bercovici, Mike",ACT,--,--,--,--,LAC
QB,5,"Bortles, Blake",ACT,23,16,"3,905",78.8,JAX
QB,2,"Boykin, Trevone",ACT,1,1,145,91.2,SEA
QB,8,"Bradford, Sam",ACT,20,5,"3,877",99.3,MIN
QB,12,"Brady, Tom",ACT,28,2,"3,554",112.2,NE
QB,9,"Bray, Tyler",ACT,--,--,--,0,KC
QB,9,"Brees, Drew",ACT,37,15,"5,208",101.7,NO
QB,5,"Bridgewater, Teddy",ACT,--,--,--,--,MIN
QB,7,"Brissett, Jacoby",ACT,0,0,400,83.9,NE
QB,6,"Callahan, Joe",ACT,0,0,0,0,GB
QB,4,"Carr, Derek",ACT,28,6,"3,937",96.7,OAK
QB,16,"Cassel, Matt",ACT,2,2,284,71,TEN
QB,10,"Clemens, Kellen",ACT,0,0,0,39.6,LAC
QB,18,"Cook, Connor",ACT,1,1,150,83.4,OAK
QB,8,"Cousins, Kirk",ACT,25,12,"4,917",97.2,WAS
QB,6,"Cutler, Jay",UFA,4,5,"1,059",78.1,CHI
QB,14,"Dalton, Andy",ACT,18,8,"4,206",91.8,CIN
QB,10,"Daniel, Chase",ACT,0,0,16,118.8,NO
QB,6,"Davis, Austin",ACT,--,--,--,0,SEA
QB,5,"Dobbs, Joshua",ACT,--,--,--,--,PIT
QB,6,"Doughty, Brandon",ACT,--,--,--,0,MIA
QB,6,"Driskel, Jeff",ACT,--,--,--,0,CIN
QB,3,"Dysert, Zac",ACT,--,--,--,0,DAL
QB,9,"Fales, David",ACT,0,0,22,53.8,MIA
QB,5,"Ferguson, Tyler",ACT,--,--,--,--,TEN
QB,14,"Fitzpatrick, Ryan",ACT,12,17,"2,710",69.6,TB
QB,5,"Flacco, Joe",ACT,20,15,"4,317",83.5,BAL
QB,9,"Foles, Nick",ACT,3,0,410,105.9,PHI
QB,7,"Gabbert, Blaine",ACT,5,6,925,68.4,ARI
QB,10,"Garoppolo, Jimmy",ACT,4,0,502,113.3,NE
QB,4,"Gilbert, Garrett",ACT,--,--,--,--,CAR
QB,8,"Glennon, Mike",ACT,1,0,75,125.4,CHI
QB,16,"Goff, Jared",ACT,5,7,"1,089",63.6,LA
QB,18,"Grayson, Garrett",ACT,--,--,--,--,NO
QB,4,"Griffin, Ryan",ACT,--,--,--,0,TB
QB,10,"Griffin III, Robert",UFA,2,3,886,72.5,CLE
QB,5,"Hackenberg, Christian",ACT,--,--,--,0,NYJ
QB,6,"Heinicke, Taylor",ACT,--,--,--,0,MIN
QB,7,"Henne, Chad",ACT,--,--,--,0,JAX
QB,13,"Hill, Shaun",UFA,0,0,242,76.1,MIN
QB,8,"Hill, Taysom",ACT,--,--,--,--,GB
QB,8,"Hogan, Kevin",ACT,0,2,104,31.6,CLE
