Pos,Num,Player Name,Status,CAR,YDS,AVG,TDS,Team
RB,21,"Abdullah, Ameer",ACT,18,101,5.6,0,DET
RB,31,"Abdullah, Khalid",ACT,--,--,--,--,NYG
RB,23,"Ajayi, Jay",ACT,260,"1,272",4.9,8,MIA
RB,37,"Allen, Javorius",ACT,9,34,3.8,0,BAL
RB,22,"Anderson, C.J.",ACT,110,437,4,4,DEN
FB,40,"Armah, Alex",ACT,--,--,--,--,CAR
RB,34,"Artis-Payne, Cameron",ACT,36,144,4,2,CAR
RB,41,"Asiata, Matt",ACT,121,402,3.3,6,DET
RB,25,"Atkinson, George",ACT,7,34,4.9,1,CLE
RB,46,"Bacci, Joe",ACT,--,--,--,--,TEN
RB,22,"Banyard, Joe",ACT,2,7,3.5,0,BUF
RB,43,"Barber, Peyton",ACT,55,223,4.1,1,TB
RB,24,"Barner, Kenjon",ACT,27,129,4.8,2,LAC
RB,44,"Bell, Joique",UFA,3,6,2,0,DET
RB,26,"Bell, Le'Veon",ACT,261,"1,268",4.9,7,PIT
RB,25,"Bernard, Giovani",ACT,91,337,3.7,2,CIN
RB,26,"Bibbs, Kapri",ACT,29,129,4.4,0,SF
RB,35,"Blount, LeGarrette",ACT,299,"1,161",3.9,18,PHI
RB,28,"Blue, Alfred",ACT,100,420,4.2,1,HOU
RB,40,"Bohanon, Tommy",ACT,--,--,--,--,JAX
RB,38,"Bolden, Brandon",ACT,1,4,4,0,NE
RB,23,"Booker, Devontae",ACT,174,612,3.5,4,DEN
RB,37,"Bouagnon, Joel",ACT,--,--,--,--,CHI
RB,49,"Breida, Matt",ACT,--,--,--,--,SF
RB,37,"Brown, Algernon",ACT,--,--,--,--,SEA
RB,34,"Brown, Mack",ACT,8,82,10.3,1,WAS
RB,34,"Brown, Malcolm",ACT,18,39,2.2,0,LA
RB,38,"Brown-Dukes, Brandon",ACT,--,--,--,--,PIT
RB,34,"Burkhead, Rex",ACT,74,344,4.6,2,NE
RB,46,"Burton, Michael",ACT,--,--,--,--,CHI
RB,22,"Bush, Reggie",UFA,12,-3,-0.3,1,BUF
RB,38,"Cadet, Travaris",ACT,4,19,4.8,0,NO
RB,25,"Carey, Ka'Deem",ACT,32,126,3.9,0,CHI
RB,32,"Carson, Chris",ACT,--,--,--,--,SEA
RB,33,"Carson, Tra",ACT,--,--,--,--,CIN
RB,28,"Charles, Jamaal",ACT,12,40,3.3,1,DEN
RB,30,"Clement, Corey",ACT,--,--,--,--,PHI
RB,29,"Cohen, Tarik",ACT,--,--,--,--,CHI
RB,40,"Coleman, Derrick",ACT,--,--,--,--,ATL
FB,40,"Coleman, Kyle",ACT,--,--,--,--,SEA
RB,26,"Coleman, Tevin",ACT,118,520,4.4,8,ATL
RB,36,"Collins, Alex",ACT,31,125,4,1,SEA
RB,30,"Conner, James",ACT,--,--,--,--,PIT
RB,33,"Cook, Dalvin",ACT,--,--,--,--,MIN
RB,41,"Cook, Tim",ACT,--,--,--,--,JAX
RB,38,"Crockett, John",ACT,--,--,--,--,OAK
RB,42,"Crossan, Dalton",ACT,--,--,--,--,IND
RB,34,"Crowell, Isaiah",ACT,198,952,4.8,7,CLE
RB,26,"Cunningham, Benny",ACT,21,101,4.8,0,CHI
RB,39,"Daniels, LeShun",ACT,--,--,--,--,NE
