Pos,Num,Player Name,Status,REC,YDS,AVG,TDS,Team
TE,89,"Adams, Jerell",ACT,16,122,7.6,1,NYG
TE,49,"Alie-Cox, Mo",ACT,--,--,--,--,IND
TE,83,"Allen, Dwayne",ACT,35,406,11.6,6,NE
TE,88,"Allen, RaShaun",ACT,--,--,--,--,HOU
TE,88,"Amaro, Jace",ACT,3,59,19.7,0,TEN
TE,89,"Anderson, Stephen",ACT,11,93,8.5,1,HOU
TE,82,"Auclair, Antony",ACT,--,--,--,--,TB
TE,82,"Barnes, Brandon",ACT,--,--,--,--,DET
TE,82,"Barnidge, Gary",UFA,55,612,11.1,2,CLE
TE,81,"Baylis, Evan",ACT,--,--,--,--,HOU
TE,84,"Bell, Blake",ACT,4,85,21.3,0,SF
TE,80,"Bennett, Martellus",ACT,55,701,12.7,7,GB
TE,85,"Bluiett, Caleb",ACT,--,--,--,--,JAX
TE,86,"Boyle, Nick",ACT,6,44,7.3,0,BAL
TE,84,"Brate, Cameron",ACT,57,660,11.6,8,TB
TE,84,"Braunecker, Ben",ACT,4,41,10.3,0,CHI
TE,85,"Brown, Billy",ACT,--,--,--,--,PHI
TE,85,"Brown, Daniel",ACT,16,124,7.8,1,CHI
TE,81,"Brown, Pharaoh",ACT,--,--,--,--,OAK
TE,88,"Burton, Trey",ACT,37,327,8.8,1,PHI
TE,80,"Butt, Jake",ACT,--,--,--,--,DEN
TE,82,"Byrd, Emanuel",ACT,--,--,--,--,KC
TE,84,"Cameron, Jordan",UFA,8,60,7.5,1,MIA
TE,89,"Carrier, Derek",ACT,2,10,5,0,WAS
TE,82,"Carter, Cethan",ACT,--,--,--,--,CIN
TE,86,"Carter, Kyle",ACT,--,--,--,--,MIN
TE,87,"Celek, Brent",ACT,14,155,11.1,0,PHI
TE,88,"Celek, Garrett",ACT,29,350,12.1,3,SF
TE,85,"Charles, Orson",ACT,--,--,--,--,KC
TE,85,"Clay, Charles",ACT,57,552,9.7,4,BUF
TE,45,"Cleveland, Asante",ACT,--,--,--,--,LAC
TE,86,"Conque, Zach",ACT,--,--,--,--,HOU
TE,87,"Cook, Jared",ACT,30,377,12.6,1,OAK
TE,85,"Cotton, Sam",ACT,--,--,--,--,NE
TE,88,"Croom, Jason",ACT,--,--,--,--,BUF
TE,45,"Cross, Alan",ACT,6,38,6.3,1,TB
TE,80,"Culkin, Sean",ACT,--,--,--,--,LAC
TE,87,"Cumberland, Jeff",ACT,--,--,--,--,LAC
TE,86,"Cunningham, Jerome",ACT,--,--,--,--,TEN
TE,47,"Daniels, Darrell",ACT,--,--,--,--,IND
TE,47,"Davis, Kellen",UFA,0,0,--,0,NYJ
TE,85,"Davis, Vernon",ACT,44,583,13.3,2,WAS
TE,87,"DeValve, Seth",ACT,10,127,12.7,2,CLE
TE,83,"Denham, Anthony",ACT,--,--,--,--,PHI
TE,83,"Derby, A.J.",ACT,16,160,10,0,DEN
TE,84,"Dickson, Ed",ACT,10,134,13.4,1,CAR
TE,87,"Donatell, Steve",ACT,--,--,--,--,SEA
TE,84,"Donnell, Larry",UFA,15,92,6.1,1,NYG
TE,84,"Doyle, Jack",ACT,59,584,9.9,5,IND
TE,49,"Dray, Jim",UFA,0,0,0,0,SF
TE,83,"Duarte, Thomas",ACT,--,--,--,--,MIA
TE,85,"Ebron, Eric",ACT,61,711,11.7,1,DET
TE,35,"Edmunds, Trey",ACT,--,--,--,--,NO
TE,85,"Eifert, Tyler",ACT,29,394,13.6,5,CIN
TE,48,"Ellis, Alex",ACT,3,11,3.7,0,JAX
TE,85,"Ellison, Rhett",ACT,9,57,6.3,0,NYG
TE,88,"Engram, Evan",ACT,--,--,--,--,NYG
TE,86,"Ertz, Zach",ACT,78,816,10.5,4,PHI
TE,89,"Escobar, Gavin",ACT,4,30,7.5,1,KC
TE,81,"Everett, Gerald",ACT,--,--,--,--,LA
TE,80,"Fasano, Anthony",ACT,8,83,10.4,2,MIA
TE,87,"Fells, Darren",ACT,14,154,11,1,DET
TE,87,"Fiedorowicz, C.J.",ACT,54,559,10.4,4,HOU
