Pos,Num,Player Name,Status,REC,YDS,AVG,TDS,Team
WR,10,"Abbrederis, Jared",ACT,1,8,8,0,DET
WR,17,"Adams, Davante",ACT,75,997,13.3,12,GB
WR,12,"Adams, Rodney",ACT,--,--,--,--,MIN
WR,88,"Adeboyejo, Quincy",ACT,--,--,--,--,BAL
WR,13,"Agholor, Nelson",ACT,36,365,10.1,2,PHI
WR,19,"Agudosi, Carlton",ACT,--,--,--,--,ARI
WR,14,"Aiken, Kamar",ACT,29,328,11.3,1,IND
WR,15,"Alford, Mario",ACT,--,--,--,--,CLE
WR,13,"Allen, Keenan",ACT,6,63,10.5,0,LAC
WR,81,"Allison, Geronimo",ACT,12,202,16.8,2,GB
WR,80,"Amendola, Danny",ACT,23,243,10.6,4,NE
WR,17,"Anderson, Dres",ACT,--,--,--,--,HOU
WR,11,"Anderson, Robby",ACT,42,587,14,2,NYJ
WR,,"Arnold, Dan",RES,--,--,--,--,NO
WR,11,"Austin, Tavon",ACT,58,509,8.8,3,LA
WR,15,"Ayers, DeMarcus",ACT,6,53,8.8,1,PIT
WR,8,"Bailey, Aaron",ACT,--,--,--,--,BAL
WR,89,"Baldwin, Doug",ACT,94,"1,128",12,7,SEA
WR,11,"Beasley, Cole",ACT,75,833,11.1,5,DAL
WR,13,"Beckham, Odell",ACT,101,"1,367",13.5,10,NYG
WR,85,"Bell, Kenny",ACT,--,--,--,--,BAL
WR,15,"Bellamy, Josh",ACT,19,282,14.8,1,CHI
WR,13,"Benjamin, Kelvin",ACT,63,941,14.9,7,CAR
WR,12,"Benjamin, Travis",ACT,47,677,14.4,4,LAC
WR,17,"Benn, Arrelious",ACT,5,116,23.2,1,JAX
WR,11,"Bersin, Brenton",ACT,2,17,8.5,0,CAR
WR,16,"Billingsley, Jace",ACT,--,--,--,--,DET
WR,2,"Binford, Harvey",ACT,--,--,--,--,IND
WR,14,"Blackmon, Justin",SUS,--,--,--,--,JAX
WR,83,"Board, C.J.",ACT,--,--,--,--,BAL
WR,81,"Boehringer, Moritz",ACT,--,--,--,--,MIN
WR,1,"Bolden, Victor",ACT,--,--,--,--,SF
WR,80,"Boldin, Anquan",UFA,67,584,8.7,8,DET
WR,6,"Bourne, Kendrick",ACT,--,--,--,--,SF
WR,82,"Boyce, Josh",ACT,--,--,--,--,CLE
WR,83,"Boyd, Tyler",ACT,54,603,11.2,1,CIN
WR,18,"Braverman, Daniel",ACT,0,0,--,0,CHI
WR,11,"Bray, Quan",ACT,3,36,12,0,IND
WR,80,"Brent, K.J.",ACT,--,--,--,--,OAK
WR,,"Briggs, Chris",ACT,--,--,--,--,IND
WR,18,"Britt, Kenny",ACT,68,"1,002",14.7,5,CLE
WR,84,"Brown, Antonio",ACT,106,"1,284",12.1,12,PIT
WR,18,"Brown, Brian",ACT,--,--,--,--,DAL
WR,88,"Brown, Chris",ACT,--,--,--,--,CIN
WR,10,"Brown, Corey",ACT,27,276,10.2,1,BUF
WR,81,"Brown, Da'Ron",ACT,--,--,--,--,LAC
WR,3,"Brown, Fred",ACT,--,--,--,--,IND
WR,13,"Brown, Jaron",ACT,11,187,17,1,ARI
WR,12,"Brown, John",ACT,39,517,13.3,2,ARI
WR,15,"Brown, Marlon",ACT,--,--,--,--,DEN
WR,85,"Brown, Noah",ACT,--,--,--,--,DAL
WR,88,"Bryant, Dez",ACT,50,796,15.9,8,DAL
WR,10,"Bryant, Martavis",ACT,--,--,--,--,PIT
WR,18,"Bundy, Marquis",ACT,--,--,--,--,ARI
WR,13,"Burbridge, Aaron",ACT,7,88,12.6,0,SF
WR,89,"Burse, Isaiah",ACT,0,0,--,0,LAC
WR,87,"Burton, Deante",ACT,--,--,--,--,ATL
